,name,description,symptoms,treatments
76,gastroesophageal reflux disease,"Gastroesophageal reflux disease (GERD) is a chronic condition in which acid reflux occurs more than twice a week, causing inflammation and irritation of the esophagus.","['Heartburn', 'Regurgitation', 'Difficulty swallowing', 'Chest pain']","['Antacids', 'Proton pump inhibitors', 'H2 blockers', 'Lifestyle changes (e.g., weight loss, avoiding trigger foods)']"
77,glomerulonephritis,"Glomerulonephritis is a type of kidney disease in which the tiny filters in the kidneys become inflamed and damaged, leading to kidney failure.","['Blood in the urine', 'Foamy urine', 'Swelling in the face, hands, or feet', 'High blood pressure']","['Medications to control blood pressure and reduce inflammation', 'Dialysis', 'Kidney transplant']"
78,heart failure,Heart failure is a chronic condition in which the heart is unable to pump enough blood to meet the body's needs.,"['Shortness of breath', 'Fatigue', 'Swelling in the legs, ankles, or feet', 'Coughing or wheezing', 'Rapid or irregular heartbeat']","['Medications to improve heart function and control symptoms', 'Lifestyle changes (e.g., reducing salt intake, exercising regularly)', 'Surgery (e.g., implanting a pacemaker, heart transplant)']"
79,hodgkin's lymphoma,"Hodgkin's lymphoma is a cancer of the lymphatic system, which is part of the body's immune system.","['Enlarged lymph nodes', 'Fever', 'Night sweats', 'Unexplained weight loss']","['Chemotherapy', 'Radiation therapy', 'Stem cell transplant']"
80,hyperthyroidism,Hyperthyroidism is a condition in which the thyroid gland produces too much thyroid hormone.,"['Weight loss', 'Increased appetite', 'Nervousness or anxiety', 'Tremors', 'Sweating', 'Heat sensitivity', 'Fatigue', 'Muscle weakness', 'Difficulty sleeping']","['Antithyroid medication', 'Radioactive iodine therapy', 'Beta blockers']"
81,hypothyroidism,Hypothyroidism is a condition in which the thyroid gland does not produce enough thyroid hormone.,"['Fatigue', 'Weight gain', 'Cold intolerance', 'Dry skin', 'Hair loss', 'Constipation', 'Depression', 'Muscle weakness', 'Joint pain']",['Levothyroxine (thyroid hormone replacement therapy)']
82,infectious mononucleosis,"Infectious mononucleosis, also known as mono or glandular fever, is a viral infection that causes fever, sore throat, and swollen lymph nodes.","['Fatigue', 'Fever', 'Sore throat', 'Swollen lymph nodes', 'Headache', 'Muscle aches', 'Rash']","['Rest', 'Pain relievers', 'Drinking fluids', 'Steroids (in severe cases)']"
83,influenza,"Influenza, commonly known as the flu, is a viral infection that affects the respiratory system.","['Fever', 'Cough', 'Sore throat', 'Runny or stuffy nose', 'Body aches', 'Headache', 'Fatigue']","['Rest', 'Drinking fluids', 'Pain relievers', 'Antiviral medication (in some cases)']"
84,intestinal obstruction,"Intestinal obstruction occurs when the small or large intestine is partially or completely blocked, leading to abdominal pain, bloating, vomiting, and constipation.","['Abdominal pain and cramping', 'Bloating', 'Vomiting', 'Constipation']","['Surgery to remove the obstruction', 'Medications to relieve symptoms', 'Intravenous fluids and electrolytes']"
85,ischemic heart disease,Ischemic heart disease is a condition where the heart muscle is not getting enough blood and oxygen due to a narrowing or blockage of the coronary arteries.,"['Chest pain or discomfort', 'Shortness of breath', 'Fatigue', 'Nausea']","['Lifestyle changes (e.g. exercise, healthy diet)', 'Medications to lower blood pressure and cholesterol', 'Angioplasty or coronary artery bypass surgery']"
87,liver cancer,Liver cancer is a type of cancer that originates in the liver cells and can spread to other parts of the body.,"['Abdominal pain and swelling', 'Weight loss', 'Loss of appetite', 'Jaundice']","['Surgery to remove the cancer', 'Chemotherapy', 'Liver transplant']"
88,lung cancer,Lung cancer is a type of cancer that starts in the lungs and can spread to other parts of the body. It is often caused by smoking or exposure to harmful substances like radon or asbestos.,"['Coughing up blood', 'Chest pain', 'Shortness of breath', 'Hoarseness']","['Surgery to remove the cancer', 'Chemotherapy', 'Radiation therapy']"
89,mitral stenosis,"Mitral stenosis is a narrowing of the heart's mitral valve, which separates the upper and lower chambers of the left side of the heart. This narrowing restricts blood flow from the left atrium to the left ventricle, which can lead to a variety of symptoms and complications.","['Shortness of breath', 'Fatigue', 'Heart palpitations', 'Chest pain', 'Swelling in the legs or feet', 'Coughing up blood']","['Medications to reduce fluid buildup', 'Surgical repair or replacement of the mitral valve', 'Lifestyle changes, such as maintaining a healthy weight and quitting smoking']"
90,mitral valve regurgitation,"Mitral valve regurgitation is a condition in which the heart's mitral valve doesn't close tightly, allowing blood to flow backward into the heart's upper chamber. This can lead to a variety of symptoms and complications.","['Shortness of breath', 'Fatigue', 'Heart palpitations', 'Swelling in the legs or feet', 'Coughing up blood']","['Medications to control blood pressure and reduce fluid buildup', 'Surgical repair or replacement of the mitral valve', 'Lifestyle changes, such as maintaining a healthy weight and quitting smoking']"
91,myeloma,"Multiple myeloma is a type of cancer that affects plasma cells, a type of white blood cell. The cancerous plasma cells can build up in the bone marrow and form tumors in bones throughout the body. Myeloma can cause a variety of symptoms and complications.","['Bone pain', 'Fatigue', 'Increased susceptibility to infections', 'Kidney damage', 'Nausea and vomiting', 'Unexplained weight loss']","['Chemotherapy', 'Radiation therapy', 'Stem cell transplant', 'Medications to strengthen bones', 'Pain management']"
92,non-hodgkin's lymphoma,"Non-Hodgkin's lymphoma is a type of cancer that affects the lymphatic system, which is a part of the body's immune system. The cancerous cells can accumulate in the lymph nodes, bone marrow, and other organs, leading to a variety of symptoms and complications.","['Swollen lymph nodes', 'Fatigue', 'Night sweats', 'Fever', 'Unexplained weight loss', 'Chest pain or pressure']","['Chemotherapy', 'Radiation therapy', 'Immunotherapy', 'Stem cell transplant', 'Targeted therapy']"
93,pancreatic cancer,Pancreatic cancer is a type of cancer that begins in the cells of the pancreas. It can spread quickly and is often difficult to detect early. Pancreatic cancer is the fourth leading cause of cancer death in the United States.,"['Abdominal pain', 'Loss of appetite', 'Weight loss', 'Jaundice', 'Nausea', 'Vomiting', 'New-onset diabetes', 'Fatigue', 'Depression']","['Surgery', 'Radiation therapy', 'Chemotherapy', 'Targeted therapy']"
95,peripheral arterial disease,Peripheral arterial disease (PAD) is a condition where there is a narrowing of the arteries that supply blood to the legs and feet.,"['Leg pain', 'Numbness or weakness in legs', 'Coldness in lower leg or foot', ""Sores on toes, feet or legs that won't heal"", 'Change in color of legs']","['Smoking cessation', 'Exercise and physical therapy', 'Medications to manage symptoms and prevent blood clots', 'Angioplasty or stenting to open up blocked arteries', 'Surgery to bypass blocked arteries']"
96,pulmonary fibrosis,"Pulmonary fibrosis (PF) is a condition where there is scarring or thickening of the tissue in the lungs, making it difficult for oxygen to pass through.","['Shortness of breath', 'Dry cough', 'Fatigue', 'Unexplained weight loss', 'Muscle and joint pain']","['Medications to reduce inflammation', 'Oxygen therapy to increase oxygen levels', 'Pulmonary rehabilitation to improve lung function', 'Lung transplant in severe cases']"
97,renal failure,Renal failure is a condition where the kidneys are no longer able to filter waste products from the blood.,"['Swelling in hands, feet, and ankles', 'Fatigue', 'Nausea', 'Decreased appetite', 'Shortness of breath']","['Dialysis to filter blood', 'Kidney transplant', 'Medications to control underlying causes', 'Dietary changes to manage electrolyte and fluid levels']"
98,amyotrophic lateral sclerosis (als),"A progressive neurodegenerative disease that affects nerve cells in the brain and spinal cord, leading to muscle weakness and eventual paralysis.","['Muscle weakness and stiffness', 'Difficulty speaking and swallowing', 'Muscle twitching and cramping', 'Gradual loss of mobility', 'Difficulty breathing']","['Medications to manage symptoms', 'Physical therapy and occupational therapy', 'Assistive devices to help with mobility and communication']"
99,anemia,"A condition in which the body lacks enough red blood cells or hemoglobin, leading to reduced oxygen supply to tissues and organs.","['Fatigue and weakness', 'Shortness of breath', 'Dizziness', 'Headache', 'Pale skin', 'Irregular heartbeat']","['Supplements to increase iron or vitamin levels', 'Blood transfusions', 'Medications to stimulate red blood cell production']"
100,anxiety disorders,"A group of mental health disorders characterized by excessive worry, fear, or nervousness that interferes with daily activities.","['Excessive worrying', 'Feeling restless or on edge', 'Irritability', 'Difficulty concentrating', 'Muscle tension', 'Sleep problems', 'Panic attacks']","['Therapy to learn coping strategies', 'Medications to manage symptoms', 'Lifestyle changes to promote relaxation and stress management']"
101,autism spectrum disorder,"A neurodevelopmental disorder characterized by social, communication, and behavioral challenges that can vary widely in severity.","['Difficulty with social interactions', 'Delayed or absent language development', 'Repetitive behaviors or routines', 'Narrow interests', 'Sensory sensitivities']","['Behavioral therapy to teach social and communication skills', 'Medications to manage co-occurring conditions', 'Lifestyle changes to support overall health and well-being']"
102,autoimmune disorders,Autoimmune disorders refer to a group of diseases in which the immune system attacks healthy cells in the body by mistake.,"['Fatigue', 'Joint pain and swelling', 'Skin problems', 'Abdominal pain', 'Digestive problems', 'Fever', 'Swollen glands', 'Muscle pain']","['Anti-inflammatory medications', 'Immunosuppressant drugs', 'Corticosteroids', 'Physical therapy', 'Surgery (in severe cases)']"
103,bipolar disorder,"Bipolar disorder is a mental illness characterized by extreme mood swings, including episodes of mania and depression.","['Mood swings', 'Mania (extreme high)', 'Depression (extreme low)', 'Fatigue', 'Insomnia', 'Irritability', 'Difficulty concentrating', 'Impaired judgment', 'Risk-taking behavior']","['Mood stabilizing medications', 'Antidepressants', 'Antipsychotic medications', 'Psychotherapy', 'Electroconvulsive therapy (ECT) (in severe cases)']"
104,blood clotting disorders,"Blood clotting disorders refer to a group of conditions in which the blood clots too easily or doesn't clot enough, leading to an increased risk of bleeding or clotting.","['Abnormal bleeding', 'Bruising', 'Blood in urine or stool', 'Swelling', 'Pain', 'Redness', 'Warmth in the affected area']","['Blood thinners', 'Anticoagulants', 'Platelet inhibitors', 'Iron supplements (in some cases)']"
105,brain tumors,Brain tumors refer to abnormal growths of cells in the brain that can be cancerous (malignant) or non-cancerous (benign).,"['Headaches', 'Seizures', 'Nausea and vomiting', 'Memory problems', 'Changes in vision, hearing, or speech', 'Difficulty walking or balancing', 'Weakness or numbness on one side of the body']","['Surgery', 'Radiation therapy', 'Chemotherapy', 'Steroids', 'Anti-seizure medications']"
106,cerebral palsy,"Cerebral palsy is a group of disorders that affect movement and muscle tone or posture. It is caused by damage that occurs to the immature brain as it develops, most often before birth.","['Muscle stiffness', 'Muscle weakness', 'Lack of muscle coordination', 'Tremors', 'Difficulty with fine motor skills', 'Difficulty with gross motor skills', 'Difficulty with swallowing or speaking']","['Physical therapy', 'Occupational therapy', 'Speech therapy', 'Medications for muscle spasticity or seizures', 'Surgery in some cases']"
107,chronic kidney disease,Chronic kidney disease (CKD) is a condition characterized by a gradual loss of kidney function over time. It can lead to kidney failure if left untreated.,"['Fatigue', 'Weakness', 'Loss of appetite', 'Swelling in the legs', 'Difficulty sleeping', 'Changes in urination (e.g., frequency, color, or smell)']","['Medications to control blood pressure and cholesterol levels', 'Dietary changes to manage potassium, sodium, and protein intake', 'Dialysis or kidney transplant in severe cases']"
108,colorectal cancer,"Colorectal cancer is a type of cancer that affects the colon and/or rectum. It often starts as a polyp, which can eventually become cancerous if left untreated.","['Abdominal pain', 'Blood in the stool', 'Changes in bowel habits (e.g., diarrhea or constipation)', 'Unintended weight loss', 'Fatigue']","['Surgery to remove the cancerous tissue', 'Radiation therapy', 'Chemotherapy', 'Immunotherapy']"
109,congenital heart defects,"Congenital heart defects are abnormalities in the heart's structure that are present at birth. They can affect the heart's valves, chambers, or blood vessels.","['Blue or gray skin color', 'Shortness of breath', 'Fatigue', 'Swelling in the legs, abdomen, or areas around the eyes', 'Delayed growth and development (in infants and children)']","['Surgery to repair the heart defect', 'Medications to control symptoms', 'Heart transplant in severe cases']"
110,depression,"Depression is a mood disorder that can affect a person's thoughts, feelings, and behaviors. It can lead to feelings of sadness, hopelessness, and loss of interest in daily activities.","['Persistent feelings of sadness, anxiety, or emptiness', 'Loss of interest in activities that were once enjoyable', 'Difficulty sleeping or oversleeping', 'Changes in appetite or weight', 'Fatigue', 'Difficulty concentrating or making decisions']","['Antidepressant medications', 'Psychotherapy', 'Brain stimulation therapies (e.g., electroconvulsive therapy or transcranial magnetic stimulation)']"
111,down syndrome,"Down Syndrome is a genetic disorder that causes developmental and intellectual delays, as well as physical characteristics such as low muscle tone, upward slanting eyes, and a flat nasal bridge.","['Intellectual disability', 'Delayed developmental milestones', 'Hypotonia (low muscle tone)', 'Upward slanting eyes', 'Flat nasal bridge', 'Short stature', 'Heart defects']","['Early intervention and special education', 'Speech and physical therapy', 'Treatment of associated health issues']"
112,eczema,"Eczema is a chronic skin condition characterized by itchy, inflamed patches of skin. The cause of eczema is unknown, but it is thought to be related to an overactive immune system and a defective skin barrier.","['Itchy, red, and dry skin', 'Thickened, cracked, or scaly skin', 'Small bumps that may leak fluid', 'Sensitive skin', 'Discoloration of the skin']","['Moisturizers and topical steroids', 'Avoiding triggers (such as certain fabrics, soaps, or foods)', 'Antihistamines for itching', 'Immunosuppressants for severe cases']"
113,erectile dysfunction,Erectile dysfunction is the inability to get or maintain an erection firm enough for sexual intercourse.,"['Difficulty getting an erection', 'Difficulty maintaining an erection', 'Reduced sexual desire']","['Oral medications such as sildenafil (Viagra), tadalafil (Cialis), or vardenafil (Levitra)', 'Injections into the penis', 'Penile implants']"
114,graves' disease,"Graves' disease is an autoimmune disorder that causes hyperthyroidism, or overactive thyroid.","['Anxiety and irritability', 'Weight loss', 'Rapid or irregular heartbeat']","['Anti-thyroid medication such as methimazole or propylthiouracil', 'Radioactive iodine therapy', 'Surgery to remove the thyroid gland']"
115,hashimoto's thyroiditis,"Hashimoto's thyroiditis is an autoimmune disorder that causes hypothyroidism, or underactive thyroid.","['Fatigue and sluggishness', 'Weight gain', 'Depression']","['Synthetic thyroid hormone replacement therapy', 'Lifestyle changes such as a healthy diet and exercise', 'Avoiding certain foods such as soy and high-fiber foods']"
116,hearing loss,Hearing loss is the partial or total inability to hear sounds.,"['Difficulty hearing conversations', 'Muffling of speech and other sounds', 'Ringing in the ears']","['Hearing aids', 'Cochlear implants', 'Assistive listening devices']"
117,hemophilia,"Hemophilia is a genetic disorder that affects the body's ability to clot blood, leading to excessive bleeding and easy bruising.","['Excessive bleeding', 'Frequent nosebleeds', 'Blood in the urine or stool']","['Replacement therapy with clotting factors', 'Desmopressin to increase the levels of clotting factors', 'Gene therapy']"
118,high blood pressure (hypertension),"High blood pressure is a common condition in which the force of blood against your artery walls is consistently too high, which can eventually cause health problems, such as heart disease.","['Headaches', 'Shortness of breath', 'Nosebleeds', 'Flushed face', 'Dizziness', 'Chest pain', 'Visual changes']","['Lifestyle changes (e.g., healthy diet, regular exercise, stress management)', 'Medications (e.g., ACE inhibitors, diuretics, beta blockers)', 'Monitoring blood pressure regularly']"
119,high cholesterol,"High cholesterol is a condition in which you have too much cholesterol — a waxy, fat-like substance — in your blood. High cholesterol can increase your risk of heart disease and other health problems.","['None (usually asymptomatic)', 'Yellowish patches around the eyes', 'Xanthomas (fatty deposits) on the elbows, knees, and tendons']","['Lifestyle changes (e.g., healthy diet, regular exercise, quitting smoking)', 'Medications (e.g., statins, bile acid sequestrants, niacin)', 'Monitoring cholesterol levels regularly']"
120,huntington's disease,"Huntington's disease is a genetic disorder that causes the progressive breakdown of nerve cells in the brain, which leads to mental and physical disabilities.","['Difficulty concentrating and remembering things', 'Depression and anxiety', 'Uncontrolled movements (chorea)', 'Difficulty with coordination and balance', 'Difficulty with speech and swallowing']","['Medications to control movement and psychiatric symptoms', 'Physical therapy to maintain mobility and prevent falls', 'Speech therapy to improve communication and swallowing']"
121,juvenile idiopathic arthritis,"Juvenile idiopathic arthritis is a type of arthritis that affects children under the age of 16. It causes joint pain, swelling, stiffness, and reduced mobility.","['Joint pain and swelling', 'Stiffness, especially in the morning', 'Limping', 'High fever', 'Eye inflammation', 'Rash']","['Medications to reduce inflammation and pain', 'Physical therapy to maintain joint mobility and strength', 'Occupational therapy to improve daily activities and quality of life']"
122,lou gehrig's disease,"Lou Gehrig's disease, also known as amyotrophic lateral sclerosis (ALS), is a progressive neurodegenerative disease that affects nerve cells in the brain and spinal cord, leading to muscle weakness, paralysis, and eventually respiratory failure.","['Muscle weakness in hands, arms, legs or feet', 'Difficulty speaking, swallowing, or breathing', 'Muscle cramps and twitching']","['Riluzole (Rilutek)', 'Edaravone (Radicava)', 'Physical therapy and occupational therapy', 'Breathing support']"
123,multiple myeloma,"Multiple myeloma is a type of cancer that affects plasma cells, which are white blood cells that produce antibodies to help fight infections. In multiple myeloma, abnormal plasma cells accumulate in the bone marrow and can crowd out healthy blood cells.","['Bone pain, especially in the back or ribs', 'Weakness or fatigue', 'Frequent infections', 'Nausea or vomiting', 'Constipation']","['Chemotherapy', 'Stem cell transplant', 'Radiation therapy', 'Targeted therapy', 'Immunotherapy']"
124,muscular dystrophy,Muscular dystrophy is a group of genetic disorders that cause progressive weakness and degeneration of the muscles. Different types of muscular dystrophy have different patterns of inheritance and affect different muscles in the body.,"['Muscle weakness', 'Frequent falls', 'Difficulty walking', 'Muscle stiffness or rigidity', 'Difficulty breathing']","['Physical therapy', 'Respiratory therapy', 'Orthopedic devices (e.g., braces, wheelchairs)', 'Medications to improve muscle strength or delay progression of the disease']"
125,myasthenia gravis,"Myasthenia gravis is a neuromuscular disorder that causes muscle weakness and fatigue. It occurs when the immune system attacks the receptors that allow nerve impulses to reach the muscles, leading to difficulty controlling the affected muscles.","['Weakness in the muscles that control eye movement', 'Double vision', 'Difficulty speaking or swallowing', 'Weakness in the arms, legs, or neck', 'Difficulty breathing']","['Medications that suppress the immune system', 'Medications that improve nerve function or increase muscle strength', 'Plasmapheresis (a procedure that removes harmful antibodies from the blood)', 'Thymectomy (surgical removal of the thymus gland, which plays a role in the immune system)']"
126,narcolepsy,"Narcolepsy is a neurological disorder that affects the sleep-wake cycle. It causes sudden and uncontrollable sleepiness during the day, as well as other symptoms such as cataplexy (loss of muscle control during strong emotions) and hallucinations during sleep or wakefulness.","['Excessive daytime sleepiness', 'Sudden loss of muscle control (cataplexy)', 'Sleep paralysis (inability to move or speak when falling asleep or waking up)', 'Hallucinations during sleep or wakefulness', 'Disrupted nighttime sleep']","['Stimulant medications to promote wakefulness', 'Sodium oxybate (a medication that improves nighttime sleep and reduces daytime sleepiness)', 'Antidepressants or other medications to control cataplexy or hallucinations', 'Lifestyle changes to improve sleep hygiene (e.g., avoiding caffeine and alcohol, establishing a regular sleep schedule)']"
127,nonalcoholic fatty liver disease (nafld),"Nonalcoholic fatty liver disease is a condition in which excess fat is stored in the liver. It is not caused by alcohol abuse, and can range from simple fat accumulation to inflammation and cirrhosis.","['Fatigue', 'Pain or discomfort in the upper right abdomen', 'Swelling in the abdomen', 'Elevated liver enzymes', 'Insulin resistance and high blood sugar']","['Lifestyle changes such as weight loss, exercise, and a healthy diet', 'Control of underlying conditions such as diabetes and high cholesterol', 'Medications such as vitamin E, pioglitazone, and ursodeoxycholic acid']"
128,obesity,Obesity is a medical condition in which excess body fat has accumulated to the extent that it may have an adverse effect on health. It is a chronic disease that can lead to many other health problems.,"['Increased body weight', 'Difficulty moving', 'Shortness of breath', 'Fatigue', 'Joint pain', 'Sleep apnea', 'High blood pressure', 'Type 2 diabetes', 'Heart disease', 'Stroke']","['Dietary changes', 'Increased physical activity', 'Behavioral therapy', 'Weight-loss medications', 'Bariatric surgery']"
129,obsessive-compulsive disorder (ocd),"Obsessive-compulsive disorder (OCD) is a mental disorder in which a person has uncontrollable, recurring thoughts (obsessions) and/or behaviors (compulsions) that he or she feels the urge to repeat over and over.","['Obsessions', 'Compulsions', 'Fear of contamination', 'Aggressive impulses', 'Symmetry and orderliness', 'Excessive doubt', 'Hoarding', 'Trichotillomania', 'Skin picking']","['Cognitive-behavioral therapy (CBT)', 'Exposure and response prevention (ERP)', 'Medication (SSRIs)']"
130,ovarian cancer,Ovarian cancer is a cancer that forms in the ovaries. It is the fifth most common cancer among women.,"['Abdominal bloating', 'Pelvic pain', 'Difficulty eating or feeling full quickly', 'Urinary symptoms', 'Back pain', 'Fatigue', 'Indigestion', 'Menstrual irregularities']","['Surgery', 'Chemotherapy', 'Targeted therapy']"
131,paget's disease of bone,"Paget's disease of bone is a chronic disorder that typically results in enlarged and deformed bones. It can affect any bone in the body, but most commonly affects the pelvis, spine, skull, and legs.","['Bone pain', 'Joint pain', 'Headaches', 'Hearing loss', 'Numbness or tingling', 'Enlarged bones', 'Bone deformities']","['Bisphosphonate medications', 'Calcitonin', 'Surgery']"
132,peripheral artery disease (pad),Peripheral artery disease (PAD) is a common circulatory problem in which narrowed arteries reduce blood flow to your limbs.,"['Painful cramping in hip, thigh or calf muscles after certain activities, such as walking or climbing stairs', 'Leg numbness or weakness', 'Coldness in your lower leg or foot, especially when compared with the other side', ""Sores on your toes, feet or legs that won't heal"", 'A change in the color of your legs', 'Hair loss or slower hair growth on your feet and legs', 'Slower growth of toenails', 'Shiny skin on your legs', 'No pulse or a weak pulse in your legs or feet', 'Erectile dysfunction, especially in men with diabetes']","['Lifestyle changes such as regular exercise, smoking cessation, and healthy diet', 'Medications like blood thinners, cholesterol-lowering drugs, and medications to control blood pressure', 'Angioplasty and stenting', 'Bypass surgery', 'Amputation of the affected limb, in severe cases']"
133,peripheral neuropathy,Peripheral neuropathy is a condition that occurs when the nerves that carry information to and from the brain and spinal cord to the rest of the body are damaged or diseased.,"['Tingling, burning or prickling sensations in the affected area', 'Sharp, stabbing or shooting pain', 'Extreme sensitivity to touch', 'Lack of coordination and falling', 'Muscle weakness or paralysis if motor nerves are affected', 'Partial or complete loss of sensation if sensory nerves are affected', 'Bowel or bladder dysfunction if autonomic nerves are affected', 'Changes in blood pressure and sweating']","['Treatment of the underlying condition that caused the neuropathy', 'Medications to relieve pain, such as over-the-counter painkillers, anti-seizure drugs, and antidepressants', 'Topical treatments like capsaicin cream or lidocaine patches', 'Physical therapy to help maintain strength and balance', 'Occupational therapy to help with everyday activities', 'Surgery, in severe cases']"
134,peyronie's disease,"Peyronie's disease is a condition in which fibrous scar tissue develops inside the penis, causing curved, painful erections.","['Bent penis during an erection', 'Erectile dysfunction', 'Pain during an erection', 'Shortening of the penis']","['Medications like collagenase clostridium histolyticum to break down the scar tissue', 'Injections of verapamil or interferon to reduce the size of the plaque', 'Surgery, such as plication or grafting, to straighten the penis', 'Penile implants, in severe cases']"
135,post-traumatic stress disorder (ptsd),"Post-traumatic stress disorder (PTSD) is a mental health condition triggered by a traumatic event such as combat, natural disasters, sexual assault or serious accidents. People with PTSD often experience flashbacks, nightmares, anxiety, and a feeling of detachment from the world.","['Flashbacks or reliving the traumatic event', 'Nightmares and sleep disturbances', 'Avoiding reminders of the traumatic event', 'Feeling numb or detached from the world', 'Hyperarousal or being easily startled', 'Negative changes in thinking or mood']","['Cognitive-behavioral therapy (CBT)', 'Eye movement desensitization and reprocessing (EMDR)', 'Medications such as antidepressants or anti-anxiety drugs']"
136,primary biliary cirrhosis,"Primary biliary cirrhosis (PBC) is a chronic liver disease in which the small bile ducts in the liver are gradually destroyed, leading to a buildup of bile and damage to liver cells. The cause of PBC is unknown, but it is thought to be an autoimmune disorder.","['Fatigue', 'Itching', 'Dry eyes and mouth', 'Enlarged liver or spleen', 'Jaundice', 'Osteoporosis']","['Ursodeoxycholic acid (UDCA) to slow the progression of the disease', 'Vitamin and mineral supplements', 'Medications to relieve itching or other symptoms', 'Liver transplant in severe cases']"
137,primary sclerosing cholangitis,"Primary sclerosing cholangitis is a chronic liver disease characterized by inflammation and scarring of the bile ducts. Over time, this can lead to liver damage and cirrhosis.","['Abdominal pain', 'Fatigue', 'Itching', 'Jaundice', 'Weight loss']","['Ursodeoxycholic acid', 'Endoscopic therapy', 'Liver transplantation']"
138,raynaud's disease,"Raynaud's disease is a condition that affects the blood vessels in the fingers and toes, causing them to narrow and reduce blood flow. This can lead to numbness, tingling, and color changes in the affected areas.","['Numbness', 'Tingling', 'Color changes in fingers and toes', 'Cold fingers and toes']","['Avoiding triggers such as cold temperatures and stress', 'Medications to improve blood flow', 'Biofeedback']"
139,restless legs syndrome (rls),"Restless legs syndrome is a condition that causes an uncontrollable urge to move the legs, often accompanied by uncomfortable sensations in the legs such as tingling, itching, or crawling.","['Uncontrollable urge to move legs', 'Tingling or crawling sensations in legs', 'Difficulty sleeping']","['Medications such as dopamine agonists and opioids', 'Lifestyle changes such as regular exercise and good sleep habits']"
140,scleroderma,"Scleroderma is a group of rare autoimmune diseases that cause the skin and connective tissues to harden and thicken. In some cases, scleroderma can also affect the internal organs such as the lungs, heart, and kidneys.","['Thickening and hardening of skin', 'Digestive problems', 'Joint pain and stiffness', 'Shortness of breath']","['Immunosuppressive medications', 'Medications to treat specific symptoms', 'Physical therapy']"
141,sickle cell disease,"Sickle cell disease is a genetic blood disorder that causes red blood cells to become misshapen and break down more easily than normal, leading to anemia and other complications.","['Anemia', 'Episodes of pain', 'Jaundice', 'Swelling of hands and feet']","['Pain medications', 'Hydroxyurea to reduce the frequency of painful episodes', 'Blood transfusions']"
142,sleep apnea,Sleep apnea is a sleep disorder characterized by pauses in breathing or shallow breaths during sleep. The condition can lead to poor sleep quality and excessive daytime sleepiness.,"['Loud snoring', 'Episodes of breathing cessation during sleep witnessed by another person', 'Gasping or choking during sleep', 'Excessive daytime sleepiness', 'Difficulty concentrating', 'Morning headaches', 'Irritability']","['Continuous Positive Airway Pressure (CPAP) therapy', 'Oral appliances', 'Surgery', 'Lifestyle changes (e.g. weight loss, quitting smoking, avoiding alcohol and sedatives)']"
143,aids,"AIDS (Acquired Immune Deficiency Syndrome) is a disease caused by the human immunodeficiency virus (HIV), which attacks and weakens the immune system.","['Fever', 'Fatigue', 'Swollen lymph nodes', 'Rapid weight loss', 'Frequent infections', 'Skin rashes', 'Night sweats', 'Chronic diarrhea', 'Persistent cough', 'Memory loss', 'Depression', 'Neurological disorders']","['Antiretroviral therapy', 'Prophylaxis for opportunistic infections', 'Supportive care']"
144,anthrax,"Anthrax is a serious bacterial infection caused by the spore-forming bacterium Bacillus anthracis, which can affect both humans and animals.","['Flu-like symptoms', 'Skin lesions', 'Swelling', 'Fever', 'Chest discomfort', 'Shortness of breath', 'Nausea and vomiting', 'Abdominal pain', 'Headache', 'Confusion']","['Antibiotics', 'Antitoxins', 'Wound care']"
145,avian influenza,"Avian influenza, also known as bird flu, is a highly contagious viral infection that primarily affects birds but can also infect humans.","['Fever', 'Cough', 'Sore throat', 'Muscle aches', 'Fatigue', 'Headache', 'Difficulty breathing', 'Pneumonia', 'Acute respiratory distress syndrome', 'Multi-organ failure']","['Antiviral drugs', 'Supportive care', 'Vaccines (for birds)']"
146,bacterial meningitis,"Bacterial meningitis is a serious infection of the meninges, which are the protective membranes that surround the brain and spinal cord.","['Fever', 'Headache', 'Stiff neck', 'Nausea and vomiting', 'Sensitivity to light', 'Confusion', 'Seizures', 'Coma']","['Antibiotics', 'Corticosteroids', 'Supportive care']"
147,botulism,"Botulism is a rare but serious bacterial infection caused by the toxin produced by the bacterium Clostridium botulinum, which can lead to paralysis and even death.","['Double vision', 'Blurred vision', 'Drooping eyelids', 'Slurred speech', 'Difficulty swallowing', 'Dry mouth', 'Muscle weakness', 'Paralysis', 'Respiratory failure']","['Antitoxin', 'Ventilation support', 'Intensive care']"
148,brucellosis,"Brucellosis is a bacterial infection that spreads from animals to people, usually through unpasteurized dairy products or contact with bodily fluids from infected animals.","['Fever', 'Fatigue', 'Loss of appetite', 'Joint pain', 'Muscle pain', 'Sweating', 'Headache']","['Antibiotics', 'Rest', 'Pain relievers']"
149,campylobacteriosis,"Campylobacteriosis is a bacterial infection that causes diarrhea, abdominal pain, and fever. It is usually contracted through contaminated food, particularly undercooked poultry.","['Diarrhea', 'Abdominal pain', 'Fever', 'Nausea', 'Vomiting']","['Fluids', 'Antibiotics', 'Rest']"
150,candidiasis,"Candidiasis is a fungal infection caused by the overgrowth of yeast. It can occur in various parts of the body, including the mouth, throat, genitals, and skin.","['Redness', 'Itching', 'Burning', 'Swelling', 'White patches on the tongue or inside the mouth', 'Pain during sex', 'Discharge']","['Antifungal medication', 'Topical creams', 'Oral medication']"
