Disease,Description,Symptoms,Treatments
escherichia coli o157:h7 infection,"Escherichia coli O157:H7 is a strain of E. coli bacteria that can cause severe foodborne illness. It is typically spread through contaminated food or water and can lead to symptoms such as abdominal pain, diarrhea, and dehydration. In severe cases, it can cause kidney failure and other complications.","abdominal pain and cramping, diarrhea, often bloody, nausea and vomiting, dehydration, fever, fatigue","drinking plenty of fluids to prevent dehydration, antibiotics are not recommended for treating e. coli o157:h7 infection as they can increase the risk of kidney damage, in severe cases, hospitalization may be necessary"
esophageal cancer,Esophageal cancer is a type of cancer that begins in the cells that line the esophagus.,"difficulty swallowing, unintentional weight loss, chest pain or discomfort, heartburn or indigestion, chronic cough","surgery to remove the cancer, radiation therapy, chemotherapy, palliative care to manage symptoms in advanced cases"
fibromyalgia,"Fibromyalgia is a chronic condition that causes widespread pain and tenderness in the body, as well as fatigue, sleep disturbances, and cognitive difficulties.","widespread pain, tender points, fatigue, sleep disturbances, cognitive difficulties","pain relievers such as acetaminophen, nsaids, or opioids, antidepressants, anticonvulsants, physical therapy, counseling"
filariasis,"Filariasis is a parasitic infection that is transmitted by mosquitoes. It can lead to a variety of symptoms, including fever, lymphedema, and elephantiasis. The infection is common in many tropical and subtropical regions of the world.","swelling of the limbs, genitalia, or breasts, fever, chills, muscle and joint pain, fatigue, skin rash, lymphedema","antiparasitic medication, such as diethylcarbamazine, symptomatic treatment, such as pain relievers or antibiotics to treat secondary infections, preventive measures, such as mosquito control measures and the use of bed nets"
fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","itching,  skin rash,  nodal skin eruptions,  dischromic  patches","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths"
gallbladder cancer,"Gallbladder cancer is a cancerous growth in the gallbladder, a small organ located beneath the liver that stores bile.","abdominal pain, jaundice, nausea and vomiting, loss of appetite, weight loss","surgery to remove the gallbladder, chemotherapy, radiation therapy"
gallstones,"Gallstones are hardened deposits of digestive fluid that can form in the gallbladder, causing pain and other complications.","sudden and rapidly intensifying pain in the upper right portion of your abdomen, pain in the back between the shoulder blades, pain in the right shoulder, nausea, vomiting","surgery to remove the gallbladder (cholecystectomy), medications to dissolve gallstones, lithotripsy"
gastritis,Inflammation of the stomach lining,"abdominal pain, nausea, vomiting","antacids, proton pump inhibitors, dietary changes"
gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."," vomiting,  sunken eyes,  dehydration,  diarrhoea","stop eating solid food for while, try taking small sips of water, rest, ease back into eating"
gastroesophageal reflux disease,"Gastroesophageal reflux disease (GERD) is a chronic condition in which acid reflux occurs more than twice a week, causing inflammation and irritation of the esophagus.","heartburn, regurgitation, difficulty swallowing, chest pain","antacids, proton pump inhibitors, h2 blockers, lifestyle changes (e.g., weight loss, avoiding trigger foods)"
gerd,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."," stomach pain,  acidity,  ulcers on tongue,  vomiting,  cough,  chest pain","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
giardiasis,Giardiasis is a diarrheal illness caused by the microscopic parasite Giardia.,"diarrhea, abdominal cramps, bloating, nausea, fatigue, loss of appetite, weight loss","antibiotics, anti-diarrheal medications, rehydration therapy"
glaucoma,Damage to the optic nerve that can lead to vision loss,"blurred vision, eye pain, headaches","eye drops, laser surgery, trabeculectomy"
glomerulonephritis,"Glomerulonephritis is a type of kidney disease in which the tiny filters in the kidneys become inflamed and damaged, leading to kidney failure.","blood in the urine, foamy urine, swelling in the face, hands, or feet, high blood pressure","medications to control blood pressure and reduce inflammation, dialysis, kidney transplant"
gonorrhea,Gonorrhea is a sexually transmitted infection caused by the bacterium Neisseria gonorrhoeae.,"painful urination, abnormal discharge, painful intercourse, lower abdominal pain, fever","antibiotics, pain relief medication, rest, safe sex practices"
gout,A type of arthritis caused by a buildup of uric acid crystals in the joints,"intense joint pain, swelling, redness","nonsteroidal anti-inflammatory drugs (nsaids), colchicine, urate-lowering therapy"
graves' disease,"Graves' disease is an autoimmune disorder that causes hyperthyroidism, or overactive thyroid.","anxiety and irritability, weight loss, rapid or irregular heartbeat","anti-thyroid medication such as methimazole or propylthiouracil, radioactive iodine therapy, surgery to remove the thyroid gland"
group a streptococcal infection,Group A streptococcal infection is a bacterial infection caused by group A streptococcus.,"fever, sore throat, swollen lymph nodes, nausea, vomiting, abdominal pain, rash","antibiotics, pain relief medication, rest"
haemophilus influenzae infection,Haemophilus influenzae infection is a bacterial infection caused by Haemophilus influenzae.,"fever, headache, stiff neck, fatigue, ear pain, difficulty breathing","antibiotics, pain relief medication, rest"
hantavirus pulmonary syndrome,Hantavirus pulmonary syndrome is a rare but serious respiratory disease caused by hantavirus.,"fever, muscle aches, fatigue, shortness of breath, cough, headaches, abdominal pain","hospitalization, oxygen therapy, fluid replacement therapy"
hashimoto's thyroiditis,"Hashimoto's thyroiditis is an autoimmune disorder that causes hypothyroidism, or underactive thyroid.","fatigue and sluggishness, weight gain, depression","synthetic thyroid hormone replacement therapy, lifestyle changes such as a healthy diet and exercise, avoiding certain foods such as soy and high-fiber foods"
hearing loss,Hearing loss is the partial or total inability to hear sounds.,"difficulty hearing conversations, muffling of speech and other sounds, ringing in the ears","hearing aids, cochlear implants, assistive listening devices"
heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.","chest pain or discomfort, upper body pain or discomfort in the arms, back, neck, jaw, or stomach, shortness of breath, nausea or vomiting, lightheadedness, dizziness, or fainting, sweating","aspirin, thrombolytics (clot-busting drugs), antiplatelet drugs, coronary angioplasty and stenting, coronary artery bypass surgery"
heart failure,Heart failure is a chronic condition in which the heart is unable to pump enough blood to meet the body's needs.,"shortness of breath, fatigue, swelling in the legs, ankles, or feet, coughing or wheezing, rapid or irregular heartbeat","medications to improve heart function and control symptoms, lifestyle changes (e.g., reducing salt intake, exercising regularly), surgery (e.g., implanting a pacemaker, heart transplant)"
helminthiasis,Helminthiasis is a parasitic disease caused by helminths.,"abdominal pain, diarrhea, nausea, vomiting, fever, fatigue, weight loss","antiparasitic medications, surgery (in some cases)"
hemophilia,"Hemophilia is a genetic disorder that affects the body's ability to clot blood, leading to excessive bleeding and easy bruising.","excessive bleeding, frequent nosebleeds, blood in the urine or stool","replacement therapy with clotting factors, desmopressin to increase the levels of clotting factors, gene therapy"
hemorrhoids,Swollen veins in the anus and lower rectum,"bleeding, pain or discomfort, itching","over-the-counter creams or ointments, sitz baths, surgery"
hepatitis a,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,"fatigue, nausea and vomiting, abdominal pain, loss of appetite, dark urine, joint pain, jaundice","rest, adequate nutrition, fluids, vaccination"
hepatitis b,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.","fever, fatigue, loss of appetite, nausea, vomiting, abdominal pain, joint pain, jaundice","antiviral medication, rest, adequate nutrition, fluids, vaccination"
hepatitis c,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.","fever, fatigue, joint pain, muscle pain, loss of appetite, nausea, vomiting, abdominal pain, dark urine, jaundice","antiviral medication, rest, adequate nutrition, fluids"
hepatitis d,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."," joint pain,  vomiting,  fatigue,  yellowish skin,  dark urine,  nausea,  loss of appetite,  abdominal pain,  yellowing of eyes","consult doctor, medication, eat healthy, follow up"
hepatitis e,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.," joint pain,  vomiting,  fatigue,  high fever,  yellowish skin,  dark urine,  nausea,  loss of appetite,  abdominal pain,  yellowing of eyes,  coma,  stomach bleeding","stop alcohol consumption, rest, consult doctor, medication"
hernia,A bulge or protrusion of an organ or tissue through an abnormal opening in the abdominal wall,"a visible bulge, pain or discomfort, nausea or vomiting","watchful waiting, hernia truss, surgery"
herpes zoster,"Herpes zoster, also known as shingles, is a viral infection that causes a painful rash.","pain, burning, or tingling on one side of the body, a rash that appears as a band or stripe on one side of the body, blisters that break open and crust over, itching, fever, headache, sensitivity to light","antiviral medication, pain relievers, topical creams or gels, cool, wet compresses, rest"
hiatal hernia,"Hiatal hernia is a condition in which a portion of the stomach protrudes upward into the chest, through an opening in the diaphragm.","heartburn, acid reflux, difficulty swallowing, chest or abdominal pain, shortness of breath","antacids, medications to reduce acid production, surgery (in severe cases)"
high blood pressure (hypertension),"High blood pressure is a common condition in which the force of blood against your artery walls is consistently too high, which can eventually cause health problems, such as heart disease.","headaches, shortness of breath, nosebleeds, flushed face, dizziness, chest pain, visual changes","lifestyle changes (e.g., healthy diet, regular exercise, stress management), medications (e.g., ace inhibitors, diuretics, beta blockers), monitoring blood pressure regularly"
high cholesterol,"High cholesterol is a condition in which you have too much cholesterol — a waxy, fat-like substance — in your blood. High cholesterol can increase your risk of heart disease and other health problems.","none (usually asymptomatic), yellowish patches around the eyes, xanthomas (fatty deposits) on the elbows, knees, and tendons","lifestyle changes (e.g., healthy diet, regular exercise, quitting smoking), medications (e.g., statins, bile acid sequestrants, niacin), monitoring cholesterol levels regularly"
histoplasmosis,Histoplasmosis is a fungal infection caused by inhaling spores of the fungus Histoplasma capsulatum. It can cause flu-like symptoms and can be severe in people with weakened immune systems.,"fever, cough, chest pain, fatigue, body aches","antifungal medications, oxygen therapy, intravenous fluids"
hodgkin's lymphoma,"Hodgkin's lymphoma is a cancer of the lymphatic system, which is part of the body's immune system.","enlarged lymph nodes, fever, night sweats, unexplained weight loss","chemotherapy, radiation therapy, stem cell transplant"
hookworm infection,Hookworm infection is caused by parasitic worms that live in the intestines. It is commonly found in areas with poor sanitation and can lead to anemia and malnutrition.,"itching and a rash at the site of infection, abdominal pain, diarrhea, fatigue, loss of appetite","anthelmintic medications, iron supplements, intravenous fluids"
human papillomavirus infection,"Human papillomavirus (HPV) is a viral infection that can cause genital warts and increase the risk of developing certain cancers, including cervical cancer.","genital warts, abnormal pap test results, no symptoms in many cases","medications to treat warts, surgery to remove abnormal tissue, vaccines to prevent infection"
huntington's disease,"Huntington's disease is a genetic disorder that causes the progressive breakdown of nerve cells in the brain, which leads to mental and physical disabilities.","difficulty concentrating and remembering things, depression and anxiety, uncontrolled movements (chorea), difficulty with coordination and balance, difficulty with speech and swallowing","medications to control movement and psychiatric symptoms, physical therapy to maintain mobility and prevent falls, speech therapy to improve communication and swallowing"
hypertension,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms."," headache,  chest pain,  dizziness,  loss of balance,  lack of concentration","meditation, salt baths, reduce stress, get proper sleep"
hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.","weight loss, increased appetite, nervousness or anxiety, tremors, sweating, heat sensitivity, fatigue, muscle weakness, difficulty sleeping","antithyroid medication, radioactive iodine therapy, beta blockers"
hypoglycemia, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.," vomiting,  fatigue,  anxiety,  sweating,  headache,  nausea,  blurred and distorted vision,  excessive hunger,  slurred speech,  irritability,  palpitations","lie down on side, check in pulse, drink sugary drinks, consult doctor"
hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.","fatigue, weight gain, cold intolerance, dry skin, hair loss, constipation, depression, muscle weakness, joint pain",levothyroxine (thyroid hormone replacement therapy)
impetigo,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.","red sores that quickly turn into blisters, fluid-filled blisters that burst and develop honey-colored crusts, itching","antibiotic ointments or creams, oral antibiotics, keeping the affected area clean and covered"
infectious mononucleosis,"Infectious mononucleosis, also known as mono or glandular fever, is a viral infection that causes fever, sore throat, and swollen lymph nodes.","fatigue, fever, sore throat, swollen lymph nodes, headache, muscle aches, rash","rest, pain relievers, drinking fluids, steroids (in severe cases)"
inflammatory bowel disease,Inflammatory bowel disease (IBD) is a group of chronic conditions that cause inflammation in the digestive tract.,"abdominal pain, diarrhea, rectal bleeding, fatigue, weight loss","medications to reduce inflammation, immunosuppressants, surgery (in severe cases)"
influenza,"Influenza, commonly known as the flu, is a viral infection that affects the respiratory system.","fever, cough, sore throat, runny or stuffy nose, body aches, headache, fatigue","rest, drinking fluids, pain relievers, antiviral medication (in some cases)"
insomnia,Insomnia is a sleep disorder that makes it difficult to fall asleep or stay asleep.,"difficulty falling asleep, difficulty staying asleep, waking up too early, daytime fatigue, difficulty concentrating","improving sleep habits, medications, cognitive behavioral therapy"
interstitial cystitis,Interstitial cystitis (IC) is a chronic condition that causes bladder pain and discomfort.,"pelvic pain, frequent urination, urgency to urinate, painful urination, pain during sexual intercourse","bladder distention (stretching), medications to relieve bladder pain, physical therapy, nerve stimulation"
intervertebral disc herniation,Intervertebral disc herniation is a condition in which the jelly-like center of a spinal disc pushes through a crack in the tough outer layer and puts pressure on the nerves near the spine.,"back pain, leg pain, numbness or tingling in the legs or feet, muscle weakness, bowel or bladder problems","rest and activity modification, physical therapy, medications, surgery"
intestinal obstruction,"Intestinal obstruction occurs when the small or large intestine is partially or completely blocked, leading to abdominal pain, bloating, vomiting, and constipation.","abdominal pain and cramping, bloating, vomiting, constipation","surgery to remove the obstruction, medications to relieve symptoms, intravenous fluids and electrolytes"
irritable bowel syndrome,Irritable bowel syndrome (IBS) is a common condition that affects the large intestine.,"abdominal pain, bloating, diarrhea, constipation, mucus in the stool","dietary changes, fiber supplements, medications to control bowel movements"
ischemic heart disease,Ischemic heart disease is a condition where the heart muscle is not getting enough blood and oxygen due to a narrowing or blockage of the coronary arteries.,"chest pain or discomfort, shortness of breath, fatigue, nausea","lifestyle changes (e.g. exercise, healthy diet), medications to lower blood pressure and cholesterol, angioplasty or coronary artery bypass surgery"
japanese encephalitis,Japanese encephalitis is a viral infection that is transmitted by mosquitoes and can cause inflammation of the brain.,"fever, headache, vomiting, seizures, stiff neck, muscle weakness, confusion","supportive care, antiviral medication, preventive vaccination"
jaundice,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it","yellowing of the skin and whites of the eyes, dark urine, pale stools, fatigue, abdominal pain","treating the underlying cause, phototherapy, exchange transfusion, medications"
juvenile idiopathic arthritis,"Juvenile idiopathic arthritis is a type of arthritis that affects children under the age of 16. It causes joint pain, swelling, stiffness, and reduced mobility.","joint pain and swelling, stiffness, especially in the morning, limping, high fever, eye inflammation, rash","medications to reduce inflammation and pain, physical therapy to maintain joint mobility and strength, occupational therapy to improve daily activities and quality of life"
kawasaki disease,Kawasaki disease is an illness that primarily affects children and can cause inflammation in the blood vessels throughout the body.,"fever, red eyes, rash, swollen lymph nodes, swollen hands and feet, strawberry tongue","intravenous immunoglobulin (ivig), aspirin, corticosteroids"
kidney stones,Kidney stones are hard deposits of minerals and salts that form inside the kidneys.,"severe pain in the side and back, below the ribs, pain that radiates to the lower abdomen and groin, painful urination, pink, red or brown urine, nausea and vomiting","drinking water to help pass the stone, medications to relieve pain, surgery (in severe cases)"
legionellosis,Legionellosis is a type of pneumonia caused by the Legionella bacteria.,"cough, fever, shortness of breath, muscle aches, headache, nausea and vomiting","antibiotics, supportive care"
leishmaniasis,Leishmaniasis is a parasitic disease that is transmitted by the bite of infected sand flies.,"skin sores, fever, weight loss, enlarged spleen and liver","antiparasitic medication, wound care"
leprosy,"Leprosy is a chronic bacterial infection that can damage the skin, nerves, and other organs.","skin lesions, numbness or lack of sensation, muscle weakness, eye problems, nosebleeds","multidrug therapy, surgery for deformities, rehabilitation"
leptospirosis,"Leptospirosis is an infection caused by bacteria of the Leptospira genus. It can cause a wide range of symptoms, from mild flu-like symptoms to severe disease involving multiple organs.","fever, headache, muscle aches, vomiting, jaundice, red eyes, abdominal pain, diarrhea, rash, chills","antibiotics, supportive care"
leukemia,"Leukemia is a type of cancer that affects the blood and bone marrow, the spongy tissue inside bones where blood cells are made.","fatigue, fever, night sweats, easy bruising or bleeding, bone pain, enlarged lymph nodes, shortness of breath, pale skin, frequent infections, weight loss, headaches, dizziness, confusion, seizures","chemotherapy, radiation therapy, stem cell transplant, targeted therapy, biological therapy"
listeriosis,"Listeriosis is a serious infection caused by eating food contaminated with the bacterium Listeria monocytogenes. It can cause a variety of symptoms, from mild flu-like symptoms to severe disease involving the brain and other organs.","fever, muscle aches, nausea, diarrhea, headache, stiff neck, confusion, loss of balance, convulsions","antibiotics, supportive care"
liver cancer,Liver cancer is a type of cancer that originates in the liver cells and can spread to other parts of the body.,"abdominal pain and swelling, weight loss, loss of appetite, jaundice","surgery to remove the cancer, chemotherapy, liver transplant"
lou gehrig's disease,"Lou Gehrig's disease, also known as amyotrophic lateral sclerosis (ALS), is a progressive neurodegenerative disease that affects nerve cells in the brain and spinal cord, leading to muscle weakness, paralysis, and eventually respiratory failure.","muscle weakness in hands, arms, legs or feet, difficulty speaking, swallowing, or breathing, muscle cramps and twitching","riluzole (rilutek), edaravone (radicava), physical therapy and occupational therapy, breathing support"
lung cancer,Lung cancer is a type of cancer that starts in the lungs and can spread to other parts of the body. It is often caused by smoking or exposure to harmful substances like radon or asbestos.,"coughing up blood, chest pain, shortness of breath, hoarseness","surgery to remove the cancer, chemotherapy, radiation therapy"
lyme disease,"Lyme disease is an infection caused by the bacterium Borrelia burgdorferi. It is transmitted to humans through the bite of infected blacklegged ticks. The symptoms of Lyme disease can vary widely, from mild flu-like symptoms to severe disease involving the heart, joints, and nervous system.","fever, headache, fatigue, muscle aches, joint pain, swollen lymph nodes, ""bulls-eye rash""","antibiotics, pain relievers"
lymphoma,"Lymphoma is a type of cancer that affects the lymphatic system, which is part of the body's immune system.","enlarged lymph nodes, fever, night sweats, weight loss, fatigue, itching, shortness of breath, chest pain, abdominal pain or swelling, nausea, vomiting, loss of appetite, headaches, confusion, seizures","chemotherapy, radiation therapy, stem cell transplant, targeted therapy, biological therapy"
macular degeneration,Macular degeneration is an eye disease that causes loss of vision in the center of the field of vision.,"blurred vision, dark or empty areas in your central vision, difficulty reading or recognizing faces, distorted vision, straight lines appearing wavy, reduced central vision, need for brighter light when reading or doing close work, increased difficulty adapting to low light levels, decreased intensity or brightness of colors","anti-vegf therapy, photodynamic therapy, laser therapy, vitamin supplements, low vision aids"
malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,"fever, chills, headache, sweats, fatigue, nausea and vomiting, muscle pain, joint pain, anemia, convulsions","antimalarial medications, supportive care"
measles,"Measles is a highly contagious viral disease that can be serious or even fatal. It is spread through the air by coughing or sneezing. The symptoms of measles include fever, cough, runny nose, and a rash all over the body.","fever, cough, runny nose, red, watery eyes, rash, small white spots with bluish-white centers inside the mouth, body aches","symptom relief, supportive care"
meningococcal disease,Meningococcal disease is a bacterial infection that can cause meningitis and sepsis. It is caused by the bacterium Neisseria meningitidis and is spread through respiratory and throat secretions.,"fever, headache, stiff neck, nausea and vomiting, sensitivity to light, confusion, rash","antibiotics, intravenous fluids, oxygen therapy, supportive care"
menopause,Menopause is a natural biological process that marks the end of a woman's menstrual cycles.,"irregular periods, hot flashes, night sweats, sleep problems, mood changes, weight gain and slowed metabolism, thinning hair and dry skin, loss of breast fullness, vaginal dryness, decreased sex drive, pain during sex, urinary incontinence, increased urination or urgency","hormone therapy, low-dose antidepressants, gabapentin, clonidine, vaginal estrogen, vaginal moisturizers and lubricants"
methicillin-resistant staphylococcus aureus (mrsa) infection,"MRSA is a type of staph infection that is resistant to many antibiotics. It can cause skin infections, pneumonia, and other infections. MRSA is spread through contact with contaminated surfaces or through skin-to-skin contact.","redness and swelling of the skin, painful skin lesions, fever, chills, chest pain, shortness of breath","antibiotics, draining of abscesses, supportive care"
migraine,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities."," acidity,  indigestion,  headache,  blurred and distorted vision,  excessive hunger,  stiff neck,  depression,  irritability,  visual disturbances","meditation, reduce stress, use poloroid glasses in sun, consult doctor"
migraine headaches,"Migraine headaches are a type of headache that typically cause intense throbbing pain in one area of the head, often accompanied by nausea, vomiting, and sensitivity to light and sound. They can last for hours or days and can be disabling.","throbbing or pulsing pain on one side of the head, sensitivity to light and sound, nausea and vomiting, blurred vision, lightheadedness, fatigue, irritability","pain-relieving medications such as aspirin or ibuprofen, triptans, which are medications specifically designed to treat migraines, preventive medications such as beta blockers or antidepressants, avoiding triggers such as certain foods, stress, and lack of sleep, resting in a quiet, dark room"
mitral stenosis,"Mitral stenosis is a narrowing of the heart's mitral valve, which separates the upper and lower chambers of the left side of the heart. This narrowing restricts blood flow from the left atrium to the left ventricle, which can lead to a variety of symptoms and complications.","shortness of breath, fatigue, heart palpitations, chest pain, swelling in the legs or feet, coughing up blood","medications to reduce fluid buildup, surgical repair or replacement of the mitral valve, lifestyle changes, such as maintaining a healthy weight and quitting smoking"
mitral valve regurgitation,"Mitral valve regurgitation is a condition in which the heart's mitral valve doesn't close tightly, allowing blood to flow backward into the heart's upper chamber. This can lead to a variety of symptoms and complications.","shortness of breath, fatigue, heart palpitations, swelling in the legs or feet, coughing up blood","medications to control blood pressure and reduce fluid buildup, surgical repair or replacement of the mitral valve, lifestyle changes, such as maintaining a healthy weight and quitting smoking"
molluscum contagiosum,"Molluscum contagiosum is a viral infection that causes small, raised, pearl-like bumps on the skin. It is spread through skin-to-skin contact and contact with contaminated objects.","small, raised bumps on the skin, white, waxy cores in the bumps, itching","topical medications, cryotherapy, curettage, laser therapy"
monkeypox,"Monkeypox is a rare viral disease that is similar to smallpox. It is spread through contact with infected animals or humans. Monkeypox can cause fever, rash, and pustules on the skin.","fever, headache, muscle aches, backache, swollen lymph nodes, chills, exhaustion, rash","supportive care, antiviral medications"
multiple myeloma,"Multiple myeloma is a type of cancer that affects plasma cells, which are white blood cells that produce antibodies to help fight infections. In multiple myeloma, abnormal plasma cells accumulate in the bone marrow and can crowd out healthy blood cells.","bone pain, especially in the back or ribs, weakness or fatigue, frequent infections, nausea or vomiting, constipation","chemotherapy, stem cell transplant, radiation therapy, targeted therapy, immunotherapy"
multiple sclerosis,"Multiple sclerosis (MS) is a chronic autoimmune disease of the central nervous system that affects the brain, spinal cord, and optic nerves.","fatigue, numbness or tingling in the limbs, muscle weakness or spasms, blurred or double vision, difficulty with coordination and balance, problems with speech and swallowing","medications to slow the progression of the disease, physical therapy, occupational therapy, speech therapy, counseling or support groups"
mumps,"Mumps is a viral infection that causes swelling of the salivary glands. It is spread through respiratory droplets and contact with contaminated surfaces. Mumps can also cause inflammation of the testicles, ovaries, and brain.","swelling of the salivary glands, fever, headache, muscle aches, fatigue, loss of appetite, painful testicles or breasts, stiff neck, difficulty swallowing","supportive care, pain relievers, ice packs, fluids"
muscular dystrophy,Muscular dystrophy is a group of genetic disorders that cause progressive weakness and degeneration of the muscles. Different types of muscular dystrophy have different patterns of inheritance and affect different muscles in the body.,"muscle weakness, frequent falls, difficulty walking, muscle stiffness or rigidity, difficulty breathing","physical therapy, respiratory therapy, orthopedic devices (e.g., braces, wheelchairs), medications to improve muscle strength or delay progression of the disease"
myasthenia gravis,"Myasthenia gravis is a neuromuscular disorder that causes muscle weakness and fatigue. It occurs when the immune system attacks the receptors that allow nerve impulses to reach the muscles, leading to difficulty controlling the affected muscles.","weakness in the muscles that control eye movement, double vision, difficulty speaking or swallowing, weakness in the arms, legs, or neck, difficulty breathing","medications that suppress the immune system, medications that improve nerve function or increase muscle strength, plasmapheresis (a procedure that removes harmful antibodies from the blood), thymectomy (surgical removal of the thymus gland, which plays a role in the immune system)"
mycobacterium avium complex infection,"Mycobacterium avium complex (MAC) infection is a type of bacterial infection that commonly affects people with weakened immune systems, such as those with HIV/AIDS.","fever, fatigue, weight loss, night sweats, diarrhea, abdominal pain, persistent cough, shortness of breath","antibiotics, antimicrobial therapy, immune system therapy"
mycoplasma pneumonia,Mycoplasma pneumonia is a type of bacterial pneumonia that affects the respiratory system.,"fever, cough, sore throat, headache, fatigue, muscle aches, shortness of breath","antibiotics, anti-inflammatory medications, rest and fluids"
myeloma,"Multiple myeloma is a type of cancer that affects plasma cells, a type of white blood cell. The cancerous plasma cells can build up in the bone marrow and form tumors in bones throughout the body. Myeloma can cause a variety of symptoms and complications.","bone pain, fatigue, increased susceptibility to infections, kidney damage, nausea and vomiting, unexplained weight loss","chemotherapy, radiation therapy, stem cell transplant, medications to strengthen bones, pain management"
myocardial infarction,"Myocardial infarction (MI), also known as a heart attack, occurs when blood flow to the heart muscle is blocked, usually by a blood clot. This can cause damage to the heart muscle and potentially be life-threatening.","chest pain or discomfort, shortness of breath, nausea or vomiting, feeling lightheaded or dizzy, sweating, pain or discomfort in the arms, back, neck, jaw, or stomach","oxygen therapy, aspirin or other antiplatelet medications, thrombolytic therapy or percutaneous coronary intervention (pci) to restore blood flow, beta blockers, ace inhibitors, or other medications to prevent future heart attacks, lifestyle changes such as quitting smoking, eating a healthy diet, and getting regular exercise"
narcolepsy,"Narcolepsy is a neurological disorder that affects the sleep-wake cycle. It causes sudden and uncontrollable sleepiness during the day, as well as other symptoms such as cataplexy (loss of muscle control during strong emotions) and hallucinations during sleep or wakefulness.","excessive daytime sleepiness, sudden loss of muscle control (cataplexy), sleep paralysis (inability to move or speak when falling asleep or waking up), hallucinations during sleep or wakefulness, disrupted nighttime sleep","stimulant medications to promote wakefulness, sodium oxybate (a medication that improves nighttime sleep and reduces daytime sleepiness), antidepressants or other medications to control cataplexy or hallucinations, lifestyle changes to improve sleep hygiene (e.g., avoiding caffeine and alcohol, establishing a regular sleep schedule)"
nasal polyps,Nasal polyps are noncancerous growths that develop in the lining of the nose or sinuses.,"stuffy or runny nose, postnasal drip, decreased sense of smell, facial pain or pressure, snoring","nasal corticosteroids, nasal sprays, antihistamines, surgery"
necrotizing fasciitis,"Necrotizing fasciitis is a rare but serious bacterial infection that affects the soft tissue under the skin, including muscle and fat.","intense pain, swelling, redness, fever, nausea and vomiting, fatigue, ulcers or blisters, blackened or dead skin","antibiotics, surgery to remove infected tissue, supportive care"
